sectie	sch	obj	klasse	rol	rechten
FUNC	public	fn_ai_heractivering_afwijzen(p_sleutel text, p_actor uuid, p_reden text)	function	anon	-
FUNC	public	fn_ai_heractivering_afwijzen(p_sleutel text, p_actor uuid, p_reden text)	function	authenticated	-
FUNC	public	fn_ai_heractivering_afwijzen(p_sleutel text, p_actor uuid, p_reden text)	function	service_role	EXECUTE
FUNC	public	fn_ai_heractivering_goedkeuren(p_sleutel text, p_actor uuid, p_reden text)	function	anon	-
FUNC	public	fn_ai_heractivering_goedkeuren(p_sleutel text, p_actor uuid, p_reden text)	function	authenticated	-
FUNC	public	fn_ai_heractivering_goedkeuren(p_sleutel text, p_actor uuid, p_reden text)	function	service_role	EXECUTE
FUNC	public	fn_ai_heractivering_intrekken(p_sleutel text, p_actor uuid)	function	anon	-
FUNC	public	fn_ai_heractivering_intrekken(p_sleutel text, p_actor uuid)	function	authenticated	-
FUNC	public	fn_ai_heractivering_intrekken(p_sleutel text, p_actor uuid)	function	service_role	EXECUTE
FUNC	public	fn_ai_poort_check(p_provider text, p_model text)	function	anon	-
FUNC	public	fn_ai_poort_check(p_provider text, p_model text)	function	authenticated	EXECUTE
FUNC	public	fn_ai_poort_check(p_provider text, p_model text)	function	service_role	EXECUTE
FUNC	public	fn_ai_preflight(p_actietype text, p_provider text, p_model text, p_ocr_paginas integer, p_idempotentie text, p_vingerafdruk text, p_dryrun boolean)	function	anon	-
FUNC	public	fn_ai_preflight(p_actietype text, p_provider text, p_model text, p_ocr_paginas integer, p_idempotentie text, p_vingerafdruk text, p_dryrun boolean)	function	authenticated	EXECUTE
FUNC	public	fn_ai_preflight(p_actietype text, p_provider text, p_model text, p_ocr_paginas integer, p_idempotentie text, p_vingerafdruk text, p_dryrun boolean)	function	service_role	EXECUTE
FUNC	public	fn_ai_preflight_systeem(p_actietype text, p_fonds_id uuid, p_provider text, p_model text, p_ocr_paginas integer, p_idempotentie text, p_vingerafdruk text, p_dryrun boolean)	function	anon	-
FUNC	public	fn_ai_preflight_systeem(p_actietype text, p_fonds_id uuid, p_provider text, p_model text, p_ocr_paginas integer, p_idempotentie text, p_vingerafdruk text, p_dryrun boolean)	function	authenticated	-
FUNC	public	fn_ai_preflight_systeem(p_actietype text, p_fonds_id uuid, p_provider text, p_model text, p_ocr_paginas integer, p_idempotentie text, p_vingerafdruk text, p_dryrun boolean)	function	service_role	EXECUTE
FUNC	public	fn_ai_quota_wijzigen(p_sleutel text, p_waarde integer, p_actor uuid)	function	anon	-
FUNC	public	fn_ai_quota_wijzigen(p_sleutel text, p_waarde integer, p_actor uuid)	function	authenticated	-
